date,field,acres,acres_impacted,frac_max_acres,move_type,herd,cover,hay_cycle,graze_cycle,mow_cycle,impact_cycle,harvest_cycle,harvest_cycle0,regrowth_cycle,impact_period
2025-08-16T00:00:00Z,Barberry Woods,10.44,10.44,1,day_in,feeders,NA,0,1,0,1,1,1,0,2
2025-08-18T00:00:00Z,Barberry Woods,10.44,10.44,1,day_out,feeders,2544,0,1,0,1,1,1,1,2
2025-10-16T00:00:00Z,Barberry Woods,10.44,10.44,1,day_in,feeders,NA,0,2,0,2,2,2,1,3
2025-10-19T00:00:00Z,Barberry Woods,10.44,10.44,1,day_out,feeders,NA,0,2,0,2,2,2,2,3
2025-04-19T00:00:00Z,Briar,7.73,7.73,1,day_in,brood,1802,0,1,0,1,1,1,0,3
2025-04-22T00:00:00Z,Briar,7.73,7.73,1,day_out,brood,1522,0,1,0,1,1,1,1,3
2025-04-30T00:00:00Z,Briar,7.73,NA,NA,agroecology,NA,2491,0,1,0,1,1,1,1,NA
2025-05-12T00:00:00Z,Briar,7.73,NA,NA,agroecology,NA,2427.8,0,1,0,1,1,1,1,NA
2025-06-02T00:00:00Z,Briar,7.73,NA,NA,agroecology,NA,3423.2,0,1,0,1,1,1,1,NA
2025-06-11T00:00:00Z,Briar,7.73,NA,NA,agroecology,NA,3252,0,1,0,1,1,1,1,NA
2025-06-11T00:00:00Z,Briar,7.73,7,0.9055627425614489,hay_in,hay,3252,1,1,0,2,2,2,1,NA
2025-06-13T00:00:00Z,Briar,7.73,7,0.9055627425614489,hay_out,hay,2617.4,1,1,0,2,2,2,2,NA
2025-06-27T00:00:00Z,Briar,7.73,NA,NA,agroecology,NA,2617.4,1,1,0,2,2,2,2,NA
2025-07-11T00:00:00Z,Briar,7.73,NA,NA,agroecology,NA,2949.2,1,1,0,2,2,2,2,NA
2025-07-31T00:00:00Z,Briar,7.73,NA,NA,agroecology,NA,3580,1,1,0,2,2,2,2,NA
2025-08-15T00:00:00Z,Briar,7.73,NA,NA,agroecology,NA,3104,1,1,0,2,2,2,2,NA
2025-08-25T00:00:00Z,Briar,7.73,NA,NA,agroecology,NA,3660.2,1,1,0,2,2,2,2,NA
2025-09-17T00:00:00Z,Briar,7.73,NA,NA,agroecology,NA,2601.6,1,1,0,2,2,2,2,NA
2025-09-19T00:00:00Z,Briar,7.73,7.73,1,day_in,feeders,2601.6,1,2,0,3,3,3,2,14
2025-10-03T00:00:00Z,Briar,7.73,7.73,1,day_out,feeders,2026,1,2,0,3,3,3,3,14
2025-10-06T00:00:00Z,Briar,7.73,NA,NA,agroecology,NA,1942,1,2,0,3,3,3,3,NA
2025-08-06T00:00:00Z,Broad Meadow,38.8,2,1,hay_in,hay,NA,1,0,0,1,1,1,0,NA
2025-08-08T00:00:00Z,Broad Meadow,38.8,2,1,hay_out,hay,NA,1,0,0,1,1,1,1,NA
2025-08-19T00:00:00Z,Broad Meadow,38.8,2,1,hay_in,hay,NA,2,0,0,2,2,2,1,NA
2025-08-21T00:00:00Z,Broad Meadow,38.8,2,1,hay_out,hay,NA,2,0,0,2,2,2,2,NA
2025-08-06T00:00:00Z,Broad Meadow 1a,NA,NA,NA,hay_in,hay,NA,1,0,0,1,1,1,0,NA
2025-08-19T00:00:00Z,Broad Meadow Dry,NA,NA,NA,hay_in,hay,NA,1,0,0,1,1,1,0,NA
2025-08-06T00:00:00Z,Bull,NA,NA,NA,mow_in,NA,NA,0,0,1,1,0,0,0,NA
2025-08-18T00:00:00Z,Bull,5.9,5.9,1,day_in,feeders,3538,0,1,1,2,1,1,1,3
2025-08-21T00:00:00Z,Bull,5.9,5.9,1,day_out,feeders,2810,0,1,1,2,1,1,2,3
2025-11-06T00:00:00Z,Bull,5.9,5.9,1,day_in,feeders,NA,0,2,1,3,2,2,2,5
2025-11-11T00:00:00Z,Bull,5.9,5.9,1,day_out,feeders,NA,0,2,1,3,2,2,3,5
2025-04-24T00:00:00Z,Crabby,0.87,NA,NA,agroecology,NA,1716.8,0,0,0,0,0,0,0,NA
2025-05-21T00:00:00Z,Crabby,NA,NA,NA,mow_in,NA,NA,0,0,1,1,0,0,0,NA
2025-04-24T00:00:00Z,Drainage,13.13,NA,NA,agroecology,NA,1543,0,0,0,0,0,0,0,NA
2025-05-09T00:00:00Z,Drainage,13.13,NA,NA,agroecology,NA,2759.6,0,0,0,0,0,0,0,NA
2025-05-21T00:00:00Z,Drainage,13.13,NA,NA,agroecology,NA,3502.2,0,0,0,0,0,0,0,NA
2025-05-30T00:00:00Z,Drainage,13.13,9.33,0.7105864432597105,day_in,feeders,3776,0,1,0,1,1,1,0,11
2025-06-10T00:00:00Z,Drainage,13.13,9.33,0.7105864432597105,day_out,feeders,2614,0,1,0,1,1,1,1,11
2025-06-27T00:00:00Z,Drainage,13.13,NA,NA,agroecology,NA,2712.2,0,1,0,1,1,1,1,NA
2025-07-15T00:00:00Z,Drainage,13.13,NA,NA,agroecology,NA,3565.4,0,1,0,1,1,1,1,NA
2025-07-16T00:00:00Z,Drainage,13.13,13.13,1,day_in,feeders,3745,0,2,0,2,2,2,1,14
2025-07-30T00:00:00Z,Drainage,13.13,13.13,1,day_out,feeders,2749,0,2,0,2,2,2,2,14
2025-07-31T00:00:00Z,Drainage,13.13,NA,NA,agroecology,NA,2726,0,2,0,2,2,2,2,NA
2025-08-15T00:00:00Z,Drainage,13.13,NA,NA,agroecology,NA,3468,0,2,0,2,2,2,2,NA
2025-08-26T00:00:00Z,Drainage,13.13,NA,NA,agroecology,NA,2775.4,0,2,0,2,2,2,2,NA
2025-09-12T00:00:00Z,Drainage,13.13,NA,NA,agroecology,NA,3676,0,2,0,2,2,2,2,NA
2025-10-01T00:00:00Z,Drainage,13.13,NA,NA,agroecology,NA,3650,0,2,0,2,2,2,2,NA
2025-10-03T00:00:00Z,Drainage,13.13,13.13,1,day_in,feeders,4126,0,3,0,3,3,3,2,10
2025-10-13T00:00:00Z,Drainage,13.13,13.13,1,day_out,feeders,2628,0,3,0,3,3,3,3,10
2025-04-24T00:00:00Z,Flush,0.6,NA,NA,agroecology,NA,2949.2,0,0,0,0,0,0,NA,NA
2025-04-22T00:00:00Z,GP Woods,2.3,2.3,1,day_in,brood,1970,0,1,0,1,1,1,0,1
2025-04-23T00:00:00Z,GP Woods,2.3,2.3,1,day_out,brood,1793,0,1,0,1,1,1,1,1
2025-06-27T00:00:00Z,GP Woods,2.3,NA,NA,agroecology,NA,2838.6,0,1,0,1,1,1,1,NA
2025-04-15T00:00:00Z,GP1A,8,8,1,day_in,brood,NA,0,1,0,1,1,1,0,4
2025-04-19T00:00:00Z,GP1A,8,8,1,day_out,brood,1270,0,1,0,1,1,1,1,4
2025-04-25T00:00:00Z,GP1A,8,NA,NA,agroecology,NA,1701,0,1,0,1,1,1,1,NA
2025-04-25T00:00:00Z,GP1A,8,NA,NA,agroecology,NA,1669.4,0,1,0,1,1,1,1,NA
2025-05-09T00:00:00Z,GP1A,8,NA,NA,agroecology,NA,3249.4,0,1,0,1,1,1,1,NA
2025-05-30T00:00:00Z,GP1A,8,5.25,0.65625,day_in,brood,4252,0,2,0,2,2,2,1,3
2025-06-02T00:00:00Z,GP1A,8,5.25,0.65625,day_out,brood,3146,0,2,0,2,2,2,2,3
2025-06-11T00:00:00Z,GP1A,8,NA,NA,agroecology,NA,3146,0,2,0,2,2,2,2,NA
2025-06-27T00:00:00Z,GP1A,8,NA,NA,agroecology,NA,4371.2,0,2,0,2,2,2,2,NA
2025-07-02T00:00:00Z,GP1A,8,8,1,day_in,brood,4126,0,3,0,3,3,3,2,4
