site,date,plot,grass,forb,forb_inv,woody,woody_inv,bare,water,canopy,height,type,disturbance,sedge_rush,pepperweed,multiflora,glossy_buckthorn,purple_loosestrife,bull_thistle,wild_chervil,cypress_suprge,milkweed,bittersweet,swallow_wort,bedstraws,garlic_mustard,marsh_pea,rcg,common reed,winter_bittercress
gp1,6/1/22,1,90,40,0,0,0,0,,0,52,,,1,,,,,,,,,,,,,,,,
gp1,6/1/22,2,60,15,0,0,0,40,,0,18,,,,,,,,,,,,,,,,,,,
gp1,6/1/22,3,90,25,0,0,0,15,,0,105,,,,,,,,,,,,,,,,,,,
gp1,6/1/22,4,75,15,0,0,0,20,,0,22,,,,,,,,,,,,,,,,,,,
gp1,6/1/22,5,50,30,0,0,0,20,,0,71,,,,,,,,,,,,,,,,,,,
gp1,6/1/22,6,30,80,0,0,0,40,,0,92,,,,,,,,,,,,,,,,,,,
gp1,6/1/22,7,20,90,0,0,0,20,,0,76,,,,,,,,,,,,,,,,,,,
gp1,6/1/22,8,80,50,5,1,0,10,,0,49,,,,1,,,,,,,,,,,,,,,
gp1,6/1/22,9,80,25,0,0,0,0,,0,39,,,,,,,,,,,,,,,,,,,
gp1,6/1/22,10,5,95,0,0,0,5,,0,49,,,,,,,,,,,,,,,,,,,
gp1,6/3/22,11,80,50,0,0,0,5,,0,53,semi_wet,,1,,,,,,,,,,,,,,,,
gp1,6/3/22,12,80,60,0,5,0,10,,0,60,semi_wet,,1,,,,,,,,,,,,,,,,
gp1,6/3/22,13,50,40,10,50,50,10,,0,120,semi_wet,,1,,1,1,1,,,,,,,,,,,,
gp1,6/3/22,14,90,30,15,0,0,15,,0,102,semi_wet,,1,,,,1,,,,,,,,,,,,
gp1,6/3/22,15,90,1,0,0,0,20,,0,106,wet,,,,,,,,,,,,,,,,,,
gp1,6/3/22,16,90,20,0,0,0,15,,0,57,semi_wet,,,,,,,,,,,,,,,,,,
gp1,6/3/22,17,80,40,0,0,0,15,,10,60,pasture,,,,,,,1,1,,,,,,,,,,
gp1,6/3/22,18,90,15,0,15,0,20,,90,54,pasture,,,,,,,,,,,,,,,,,,
gp1,6/3/22,19,90,25,0,10,0,10,,0,53,pasture,,,,,,,,,,,,,,,,,,
gp1,6/3/22,20,70,20,0,5,0,20,,80,55,pasture,,,,,,,,,,,,,,,,,,
gp1,6/3/22,21,80,25,0,1,0,10,,0,54,pasture,,,,,,,,,,,,,,,,,,
gp1,6/3/22,22,80,30,10,0,0,15,,0,115,semi_wet,,1,,,,1,,,,,,,,,,,,
gp1,6/3/22,23,90,10,1,0,0,10,,0,107,semi_wet,,1,,,,1,,,,,,,,,,,,
gp1,6/3/22,24,75,10,0,0,0,20,,0,90,wet,,1,,,,,,,,,,,,,,,,
gp1,6/3/22,25,95,15,0,0,0,5,,0,56,semi_wet,,1,,,,,,,,,,,,,,,,
gp2,6/6/22,1,80,25,15,0,0,0,,0,62,semi_wet,,1,,,,1,,,,,,,,,,,,
gp2,6/6/22,2,80,30,20,0,0,0,,0,81,semi_wet,,1,,,,1,,,,,,,,,,,,
