#Plot cover is canopy cover and totals >100% because of layers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# In 2025 For all collectors except Jane, ""Grass"" plot cover includes all grass-like monocots like grasses, sedges, bulrushes, rushes, though 100% is max listed under ""grass"" these are often multi-layered within the plot.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Jane only included true grasses in ""Grass"" cover and sedges/rushes as a separate type of cover. these should be adjusted for consistency.  one approach could be adding grass + sedge/rush, but overlapping layers could make the total grass cover > 100%. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# ""Thatch"" includes mulch and non-bare but non-vegetated ground cover visible at soil level",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Field_2022,Field_2025,Collector,ELU Name,ELU (y/n),Production (y/n),previous_disturbance,wet_area,Plot,graminoids_inclusive,invasive_grass,sedges_rushes,sedges,rushes,woody_inclusive,woody_invasive,forb_inclusive,invasive_forb,legume_forb,flowering_forb,bare,thatch,canopy,max_height_cm,standing_water,multiflora,cherry,thistle,loosestrife,hawthorne,buckthorn,bedstraw,plantain,reed_canarygrass,pokeweed,barberry,dewberry,poison_ivy,honeysuckle,knapweed,milkweed,chervil,goldenrod,marsh_pea,pepperweed,cypress_spurge,bittersweet,swallowwort,garlic_mustard,common_reed,winter_bittercress,Notes
6/11/25,Wilson,Wilson,Brett,Wilson's Field,y,y,,,1,90,0,0,,,0,,75,0,20,5,0,20,0,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Wilson,Wilson,Brett,Wilson's Field,y,y,,,2,90,0,5,,,0,,40,0,35,5,0,15,0,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Wilson,Wilson,Brett,Wilson's Field,y,y,,,3,100,0,20,,,0,,80,0,60,25,0,10,0,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Wilson,Wilson,Brett,Wilson's Field,y,y,,,4,100,0,0,,,0,,80,0,25,60,0,15,0,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Wilson,Wilson,Brett,Wilson's Field,y,y,,,5,100,0,0,,,0,,100,5,75,40,0,5,0,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Wilson,Wilson,Brett,Wilson's Field,y,y,,,6,100,0,80,,,10,,60,0,50,40,0,10,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Wilson,Wilson,Brett,Wilson's Field,y,y,,,7,100,0,0,,,0,,90,0,60,30,0,5,0,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Wilson,Wilson,Brett,Wilson's Field,y,y,,,8,90,0,0,,,0,,30,0,10,25,0,5,0,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Wilson,Wilson,Brett,Wilson's Field,y,y,,,9,75,0,0,,,10,,90,0,60,50,0,5,0,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Wilson,Wilson,Brett,Wilson's Field,y,y,,,10,80,0,0,,,0,,80,0,5,60,0,15,0,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Wilson,Wilson,Brett,Wilson's Field,y,y,,,11,100,10,0,,,0,,100,0,25,80,0,5,0,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Wilson,Wilson,Brett,Wilson's Field,y,y,,,12,100,10,0,,,0,,60,0,20,40,0,5,0,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Wilson,Wilson,Brett,Wilson's Field,y,y,,,13,100,0,0,,,1,,75,0,40,50,0,15,0,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Wilson,Wilson,Brett,Wilson's Field,y,y,,,14,90,20,0,,,0,,80,0,75,60,0,10,0,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Wilson,Wilson,Brett,Wilson's Field,y,y,,,15,80,0,0,,,0,,40,0,0,30,0,30,0,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Wilson,Wilson,Brett,Wilson's Field,y,y,,,16,75,0,0,,,0,,60,0,10,50,0,40,0,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Wilson,Wilson,Brett,Wilson's Field,y,y,,,17,90,5,0,,,0,,60,0,50,15,0,25,0,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Wilson,Wilson,Brett,Wilson's Field,y,y,,,18,90,0,0,,,0,,50,0,40,5,0,25,0,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Wilson,Wilson,Brett,Wilson's Field,y,y,,,19,75,0,0,,,0,,10,0,5,0,0,40,0,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Wilson,Wilson,Brett,Wilson's Field,y,y,,,20,100,0,0,,,0,,40,0,35,10,0,10,0,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Wilson,Wilson,Brett,Wilson's Field,y,y,,,21,90,0,0,,,0,,15,10,5,0,0,20,0,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Playground Pond,Playground Pond,Brett,Playground Pond,y,n,,,1,100,15,0,,,90,,0,0,0,0,0,5,0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Playground Pond,Playground Pond,Brett,Playground Pond,y,n,,,2,100,1,0,,,75,,40,30,0,15,0,5,0,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Playground Pond,Playground Pond,Brett,Playground Pond,y,n,,,3,75,0,10,,,100,,30,10,20,5,0,10,0,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Playground Pond,Playground Pond,Brett,Playground Pond,y,n,,,4,60,0,0,,,90,,15,1,0,0,0,20,5,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Playground Pond,Playground Pond,Brett,Playground Pond,y,n,,,5,10,0,5,,,90,,75,25,0,25,1,15,0,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Playground Pond,Playground Pond,Brett,Playground Pond,y,n,,,6,75,75,0,,,100,,100,100,0,80,0,5,0,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Playground Pond,Playground Pond,Brett,Playground Pond,y,n,,,7,90,30,0,,,100,,30,0,0,0,5,10,0,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Playground Pond,Playground Pond,Brett,Playground Pond,y,n,,,8,90,20,75,,,0,,40,5,0,0,20,25,0,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Playground Pond,Playground Pond,Brett,Playground Pond,y,n,,,9,80,30,50,,,0,,40,0,0,0,10,15,0,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Playground Pond,Playground Pond,Brett,Playground Pond,y,n,,,10,75,60,10,,,0,,75,5,0,0,0,20,0,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Playground Pond,Playground Pond,Brett,Playground Pond,y,n,,,11,90,90,0,,,0,,75,0,0,0,0,30,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Playground Pond,Playground Pond,Brett,Playground Pond,y,n,,,12,5,5,0,,,100,,25,25,0,0,0,20,90,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Playground Pond,Playground Pond,Brett,Playground Pond,y,n,,,13,15,15,0,,,10,,100,75,0,5,0,5,5,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Playground Pond,Playground Pond,Brett,Playground Pond,y,n,,,14,30,30,0,,,20,,90,60,0,60,0,20,60,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Playground Pond,Playground Pond,Brett,Playground Pond,y,n,,,15,5,0,1,,,90,,90,75,5,0,0,5,40,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Playground Pond,Playground Pond,Brett,Playground Pond,y,n,,,16,40,40,0,,,100,,75,30,0,5,0,10,90,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Playground Pond,Playground Pond,Brett,Playground Pond,y,n,,,17,75,75,0,,,0,,90,0,5,0,0,30,0,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Playground Pond,Playground Pond,Brett,Playground Pond,y,n,,,18,100,90,5,,,0,,80,5,10,0,0,10,0,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
