"","name_bore","avg_bare"
"1","Barberry Woods",1.95
"2","Briar",18.6363636363636
"3","Broad Meadow",2.5
"4","Bull",0
"5","Drainage",1.25
"6","GP1A",4.57904761904762
"7","GP1B",1.8
"8","GP2A",0.0952380952380952
"9","GP2B",1.42857142857143
"10","GP3",2.25
"11","GP4A",3.4
"12","GP4B",0
"13","GP4C",6.75
"14","GP5A",3.25
"15","GP5B",0.25
"16","GP5C",2.1
"17","GP5D",6.95
"18","GP6A",2.6
"19","GP6B",0
"20","GP6C",2.95
"21","GP7",1.2
"22","GP7A",1.5
"23","GP8A",5
"24","GP8B",0.7
"25","GP8C",1.06666666670588
"26","Horse",1.65
"27","Jimmy's Wet Meadow",9.5
"28","Lamson Hill",17.5
"29","Lamson Middle",6.80952380952381
"30","Lamson North",18.3333333333333
"31","Leo's",13.05
"32","Long Causeway",4.25
"33","Long Meadow",6
"34","Lower Barberry",2.1
"35","Lower Sunset",5.25
"36","Lower Triangle",5.33333333333333
"37","Lower Underhill",0.909090909090909
"38","POW West",2.9
"39","Plains",16.15
"40","Plains Woods North",0.25
"41","Playground",13.25
"42","Playground Pond",2.8
"43","Pond",5.25
"44","Sunset Field",1.5
"45","Sunset Hill",2.2
"46","Underhill",6.5
"47","Underhill Wet Meadow",3.35
"48","Upper Triangle",6.25
"49","Williams 1A",12.0833333333333
"50","Williams Central",0.5
"51","Williams West",10.5
"52","Wilson",0
