"","Field","dominant_score"
"1","Barberry Woods",0.305555555555556
"2","Briar",4.10344827586207
"3","Bull",3.18181818181818
"4","Drainage Dry",2.94444444444444
"5","Drainage Wet",2.55
"6","GP1A",4.41176470588235
"7","GP1B",3
"8","GP2A",2.63157894736842
"9","GP2B",3.23076923076923
"10","GP3",4.86666666666667
"11","GP4A",4.73333333333333
"12","GP4B",4.02857142857143
"13","GP4C",3.74418604651163
"14","GP5A",2.25
"15","GP5B",3.72727272727273
"16","GP5C",1.99065420560748
"17","GP5D",4.11111111111111
"18","GP6A",4.28
"19","GP6B",3.76190476190476
"20","GP6C",4.4
"21","GP7",4.8
"22","GP7A",3.07547169811321
"23","GP8A",4.6875
"24","GP8B",2.72727272727273
"25","Horse",4.71428571428571
"26","Lamson Hill",4.09090909090909
"27","Lamson Middle",2.97402597402597
"28","Lamson North",3.47058823529412
"29","Leo's",4.58333333333333
"30","Lower Barberry",3.17647058823529
"31","Lower Triangle",3.375
"32","POW West",3.84615384615385
"33","Plains",4.55555555555556
"34","Playground",4.6
"35","Sunset Field",3.35294117647059
"36","Sunset Hill",4.65217391304348
"37","Underhill",4.21428571428571
"38","Underhill Wet",2.69565217391304
"39","Upper Triangle",4.4
"40","Williams 1A",3.875
"41","Williams West",3.33333333333333
"42","Wilson",4.5
