2025FieldName,DateSampled,ph
Briar,2023,6.4
Briar,2024-10-03,6.65
Broad Meadow Dry,2021-09-29,6.39
Broad Meadow Dry,2023,6.1
Broad Meadow Dry,2024-10-10,6.05
Bull,2025,5.7
Drainage,2023,5.6
Drainage,2024-10-03,6.02
GP1A,2025,6
GP1A,2025,6.4
GP1B,2023,5.4
GP2A,2023,5.4
GP2B,2021-09-28,5.77
GP2B,2023,5.8
GP2B,2024-10-11,6.3
GP3,2021-09-28,5.82
GP3,2023,6.4
GP3,2024-10-11,6.43
GP3,2025,6.7
GP4C,2021-09-28,5.88
GP4C,2023,6.3
GP4C,2024-10-11,6.57
GP5D,2021-09-28,6.16
GP5D,2023,5.9
GP5D,2024-10-15,6.26
GP6A,2025,6.1
GP6C,2021-09-28,6.24
GP6C,2023,6
GP6C,2024-10-15,6.68
GP7,2021-09-28,6.58
GP7,2023,6.3
GP7,2024-10-15,6.96
GP7,2025,6.4
GP8B,2021-09-29,6.48
GP8B,2023,6.6
GP8B,2024-10-16,6.33
Home,2021-09-14,6.63
Home,2024-10-22,6.4
Horse,2024-10-22,6.2
Jimmy's,2025,6.9
Lamson Hill,2023,6.4
Lamson Middle,2021-09-29,6.73
Lamson Middle,2023,6.8
Lamson Middle,2024-10-16,6.56
Lamson Middle,2025,6.9
Lamson North,2021-09-29,6.69
Lamson North,2023,6.7
Lamson North,2024-10-16,6.86
Lamson North,2025,6.8
Laundry Field,2022-11-22,4.92
Leo's,2023,6.7
Liatris,2022-11-22,4.87
Lower Barberry,2023,5.6
Lower Sunset,2021-09-29,6.34
Lower Sunset,2023,6.2
Lower Sunset,2024-10-22,5.96
Patch 1,2021-09-14,6.74
Patch 1,2024-10-22,6.62
Patch 2,2021-09-14,6.53
Patch 2,2024-10-22,6.57
Patch 4,2021-09-29,6.8
Patch 4,2024-10-22,6.41
Plains,2023,6.7
Plains,2023,6.8
Plains ,2021-09-27,7.07
Plains ,2021-09-27,6.8
Plains ,2024-10-02,6.95
Plains ,2024-10-02,7.1
Playground,2023,6.8
Playground,2024-10-03,6.95
Playground,2025,7
POW East,2025,6.7
POW West,2025,6.1
Railroad,2021-09-14,6.21
Railroad,2024-10-22,6.41
Sunset Field,2023,5.7
Sunset Field,2024-10-22,5.79
Sunset Hill ,2023,5.9
Underhill East,2021-09-29,6.89
Underhill East,2024-10-10,6.8
Underhill West,2021-09-29,7.11
Underhill West,2024-10-10,6.6
Underhill Wet Meadow,2021-09-29,6.01
Underhill Wet Meadow,2023,5.9
Underhill Wet Meadow,2024-10-17,5.72
Underhill Willows,2023,6.2
Upper Triangle,2025,6.6
White Cottage,2025,6.9
Williams 1A,2023,6.6
Williams West,2023,6
Williams West,2024-10-18,6.07
Wilson,2021-09-29,6.12
Wilson,2023,5.7
Wilson,2024-10-18,5.59
