FIELD,percent protein,percent tdn
Upper Triangle,11,64
Lower Triangle,11,64
Playground,11.4,63
Williams 1A,11.4,62
Wilson,11.5,62
Briar,11.7,62
,10.2,61
White Cottage,11.1,61
,9.9,61
Plains,10.2,61
Wilson,8.6,60
Williams West,9.3,60
Jimmy's,10.7,59
POW East,9.6,59
,7.8,58
,9.5,58
Lamson Middle,8.2,58
,9.1,58
Lamson Hill,8.3,58
Broad Meadow Dry,8.9,57
,10.3,57
Underhill Wet Meadow,6.7,56
Broad Meadow 1A,9,56
,12.1,56
Lamson North,11.5,55
Leo's,10.1,51
,10.9,57
,10.7,58
,11.8,59
,15.8,60
,13.3,60
,12.7,58
GP3,13.1,59
,13.8,58
,13.1,62
GP4A,13.6,59
,14.5,59
GP4B,13.4,58
GP4C,10.1,59
,10.9,59
GP5D,10.1,59
,17.3,58
GP6A,18.5,59
,18,56
GP6C,8.6,59
,9,56
GP7,9.4,59
