name_bore,Sample YEAR,organic_matter,k
Bull,2025,11,160
GP1A,2025,9.65,320
GP3,2025,9.4,271
GP6A,2025,10.6,159
GP7,2025,11.2,117
Jimmy's,2025,8.8,63
Lamson Middle,2025,8.4,43
Lamson North,2025,7.6,40
Playground,2025,9.8,75
POW East,2025,9.6,48
POW West,2025,8.8,56
Upper Triangle,2025,8,71
White Cottage,2025,9.2,49
Briar,2024,5.450197816,35.4
Broad Meadow Dry,2024,6.06671931,27.9
Drainage,2024,6.310896429,42.2
GP2B,2024,6.683071066,108.5
GP3,2024,7.532255654,59.9
GP4C,2024,5.925480034,134.5
GP5D,2024,6.692717301,87.6
GP6C,2024,5.072318234,53.7
GP7,2024,6.886529629,95.1
GP8B,2024,7.445288252,104.8
Home,2024,4.839452689,114.7
Horse,2024,5.976366541,121.7
Lamson Middle,2024,6.164882652,24.2
Lamson North,2024,6.777379296,29.4
Lower Sunset,2024,6.388726152,57.2
Patch Field,2024,4.066,123.53
Plains ,2024,5.4429,36.3
Playground,2024,7.06297325,32.6
Railroad,2024,4.508092742,110.4
Sunset Field,2024,5.344457594,94.9
Underhill,2024,3.745,115.8
Underhill Wet Meadow,2024,5.71664757,34.4
Williams West,2024,4.018453015,30.6
Wilson,2024,5.446002766,60.4
Briar,2023,5.7,48
Broad Meadow Dry,2023,7.1,61
Drainage,2023,7.7,91
GP1B,2023,6.3,42
GP2A,2023,14.5,93
GP2B,2023,6.7,150
GP3,2023,7.1,108
GP4C,2023,6.4,118
GP5D,2023,8,112
GP6C,2023,7.1,106
GP7,2023,7.2,154
GP8B,2023,8.8,223
Lamson Hill,2023,7.6,58
Lamson Middle,2023,7.1,29
Lamson North,2023,7.6,48
Leo's,2023,6.6,48
Lower Barberry,2023,10.8,52
Lower Sunset,2023,8,97
Plains,2023,6.7,49
Plains,2023,7.1,57
Playground,2023,8.9,81
Sunset Field,2023,7.5,324
Sunset Hill ,2023,6.5,138
Underhill Wet Meadow,2023,6.2,40
Underhill Willows,2023,2.8,103
Williams 1A,2023,6.1,57
Williams West,2023,5.1,36
Wilson,2023,6.6,94
Laundry Field,2022,4.846174497,43.5
Liatris,2022,4.814462686,17.4
Broad Meadow Dry,2021,5.539441402,19.9
GP2B,2021,5.383919502,123.9
GP3,2021,6.649465103,121.6
GP4C,2021,5.854319954,47.7
GP5D,2021,5.373631984,73.2
GP6C,2021,5.305919091,49.2
GP7,2021,6.252206074,70
GP8B,2021,6.188965587,110.4
Home,2021,6.01671916,188.9
Lamson Middle,2021,6.060892464,18.1
Lamson North,2021,6.078372931,51.2
Lower Sunset,2021,7.475996772,53.1
Patch 1,2021,4.568711044,180.7
Patch 2,2021,4.034176742,189
Patch 4,2021,4.03488498,177.6
Plains ,2021,5.194449258,24.6
Plains ,2021,4.977589705,28.7
Railroad,2021,5.322350736,121.4
Underhill East,2021,4.181963032,208
Underhill West,2021,3.683932643,153.7
Underhill Wet Meadow,2021,5.69476489,31.8
Wilson,2021,5.178533721,74.5
