"","field","regrowth_cycle","slope","month","season","resid","herd"
"1","Briar",1,124.55,4,"spring",1522,"brood"
"2","Briar",2,105.328571428571,6,"spring",2617.4,"hay"
"3","Drainage",0,104.888888888889,4,"spring",1543,"feeders"
"4","Drainage",1,104.027777777778,6,"spring",2614,"feeders"
"5","Drainage",2,128.444444444444,7,"summer",2726,"feeders"
"6","GP1A",1,162.47,4,"spring",1270,"brood"
"7","GP1A",2,145.706666666667,6,"spring",3146,"brood"
"8","GP1A",3,123.677419354839,7,"summer",2880,"brood"
"9","GP1A",4,97.8787878787879,8,"summer",2427.8,NA
"10","GP1B",0,231.5,6,"spring",4150,"brood"
"11","GP1B",1,146.685714285714,7,"summer",2516,"brood"
"12","GP1B",2,270.471428571429,8,"summer",3258,"brood"
"13","GP1B",3,103.235294117647,9,"x_fall",2585.8,"brood"
"14","GP2A",0,213.573684210526,4,"spring",2190.8,NA
"15","GP2A",1,97.8888888888889,7,"summer",3012.4,"brood"
"16","GP2A",2,324.766666666667,8,"summer",3650,"brood"
"17","GP2A",3,80.2105263157895,8,"summer",2460,"brood"
"18","GP2B",1,87.2058823529412,6,"spring",2432,"brood"
"19","GP2B",2,113.113043478261,8,"summer",2522.6,"brood"
"20","GP3",0,213.431578947368,4,"spring",1764.2,"brood"
"21","GP3",1,127.071794871795,5,"spring",1562,"brood"
"22","GP3",2,163.36,7,"summer",2364.6,"brood"
"23","GP4A",0,192.25,4,"spring",2032.8,"brood"
"24","GP4A",1,134.054545454545,5,"spring",1701,"brood"
"25","GP4A",3,135.782608695652,8,"summer",2870.2,NA
"26","GP4B",0,228.714285714286,4,"spring",2190.8,"brood"
"27","GP4B",1,138.824,5,"spring",2012,"brood"
"28","GP4B",2,369.777777777778,8,"summer",2824,"brood"
"29","GP4B",3,76.4307692307692,8,"summer",2838.6,"brood"
"30","GP4C",1,114.496296296296,5,"spring",1827.4,"brood"
"31","GP4C",2,251.6,8,"summer",2502,"brood"
"32","GP4C",3,78.85,8,"summer",2585.8,"brood"
"33","GP5A",1,117.769230769231,7,"summer",2292,"brood"
"34","GP5B",0,94.9473684210526,4,"spring",2127.6,"brood"
"35","GP5B",1,117.110526315789,6,"spring",3676,"brood"
"36","GP5B",2,144.857142857143,7,"summer",2460,"brood"
"37","GP5C",0,138.788235294118,6,"spring",3834,NA
"38","GP5D",1,92.9793103448276,5,"spring",1685.2,"brood"
"39","GP5D",2,81.7,7,"summer",2040,"brood"
"40","GP6A",0,97.1794871794872,4,"spring",1606.2,"brood"
"41","GP6A",1,114.548387096774,6,"spring",2617.4,"brood"
"42","GP6A",2,204.222222222222,7,"summer",2516,"brood"
"43","GP6A",3,114.176,7,"summer",2306,NA
"44","GP6B",0,168.994117647059,6,"spring",2728,NA
"45","GP6B",1,360.444444444444,9,"x_fall",1705,"brood"
"46","GP6C",0,449.666666666667,4,"spring",2206.6,"brood"
"47","GP6C",1,102.78064516129,5,"spring",1827.4,"brood"
"48","GP6C",3,115.76,7,"summer",2712,NA
"49","GP6C",4,219.818181818182,9,"x_fall",2138,"brood"
"50","GP7",0,94.8648648648649,4,"spring",1746,"brood"
"51","GP7",2,81.1666666666667,7,"summer",2614,"brood"
"52","GP7",3,186.916666666667,9,"x_fall",2166,"brood"
"53","GP8A",1,156.485714285714,4,"spring",1390,"brood"
"54","GP8A",2,64.1538461538462,7,"summer",1938,"brood"
"55","GP8A",3,108.3,9,"x_fall",0,"brood"
"56","GP8B",1,207.781818181818,5,"spring",2033,"brood"
"57","Horse",0,232.035294117647,4,"spring",2080.2,"feeders"
"58","Horse",1,109.246153846154,5,"spring",2538.4,"feeders"
"59","Horse",2,101.128205128205,7,"summer",2759.6,"feeders"
"60","Horse",3,134.95652173913,9,"x_fall",1928,"feeders"
"61","Jimmy's",0,108.6,5,"spring",2712.2,NA
"62","Jimmy's",1,117.8,6,"spring",1574.6,"hay"
"63","Lamson Hill",0,88.8909090909091,4,"spring",2032.8,NA
"64","Lamson Middle",0,101.818181818182,4,"spring",2254,NA
"65","Lamson Middle",2,87.7241379310345,7,"summer",2320,"hay"
"66","Lamson North",0,98.3588235294118,4,"spring",2285.6,"hay"
"67","Lamson North",1,88.0666666666667,6,"spring",2376,"hay"
"68","Lamson North",2,75.2342857142857,8,"summer",2175,"hay"
"69","Leo's",0,121.594117647059,4,"spring",1811.6,"hay"
