"","name_bore","percent.protein","percent.tdn"
"1","Upper Triangle",11,64
"2","Lower Triangle",11,64
"3","Playground",11.4,63
"4","Williams 1A",11.4,62
"5","Wilson",11.5,62
"6","Briar",11.7,62
"7","",10.2,61
"8","White Cottage",11.1,61
"9","",9.9,61
"10","Plains",10.2,61
"11","Wilson",8.6,60
"12","Williams West",9.3,60
"13","Jimmy's",10.7,59
"14","POW East",9.6,59
"15","",7.8,58
"16","",9.5,58
"17","Lamson Middle",8.2,58
"18","",9.1,58
"19","Lamson Hill",8.3,58
"20","Broad Meadow Dry",8.9,57
"21","",10.3,57
"22","Underhill Wet Meadow",6.7,56
"23","Broad Meadow 1A",9,56
"24","",12.1,56
"25","Lamson North",11.5,55
"26","Leo's",10.1,51
"27","",10.9,57
"28","",10.7,58
"29","",11.8,59
"30","",15.8,60
"31","",13.3,60
"32","",12.7,58
"33","GP3",13.1,59
"34","",13.8,58
"35","",13.1,62
"36","GP4A",13.6,59
"37","",14.5,59
"38","GP4B",13.4,58
"39","GP4C",10.1,59
"40","",10.9,59
"41","GP5D",10.1,59
"42","",17.3,58
"43","GP6A",18.5,59
"44","",18,56
"45","GP6C",8.6,59
"46","",9,56
"47","GP7",9.4,59
