"","Field_2025","ELU Name","Month","avg_forb","avg_flowering","avg_legume","avg_grass","avg_woody","avg_invasive","name_bore"
"1","Barberry Woods",NA,7,15,6.5,0.35,15.6,69.5,0,"Barberry Woods"
"2","Briar",NA,6,52.2727272727273,19.0909090909091,21.3636363636364,69.5454545454545,0,0.454545454545455,"Briar"
"3","Broad Meadow","Broad Meadow",6,55.75,17.05,9,74.25,13.5,48.25,"Broad Meadow"
"4","Bull","Steer Barn Meadow",9,23.1,2.05,6.95,75.25,0.5,14.8,"Bull"
"5","Drainage","Drainage Lot South",5,46.35,12.8,27.25,82.25,0.6,0,"Drainage"
"6","Drainage","Drainage Lot South",9,22.7,8.1,5.65,82.25,3.25,25.5,"Drainage"
"7","GP1A","Great Pasture",5,52.8942857142857,10.052380952381,20.5790476190476,78.6838095238095,0.0523809523809524,0.262857142857143,"GP1A"
"8","GP1B","Great Pasture",6,27.1,6.85,5.2,53.5,5.5,5.35,"GP1B"
"9","GP2A","Great Pasture",6,50.7142857142857,18.2857142857143,18.8095238095238,54.0476190476191,4.28571428571429,9.47619047619048,"GP2A"
"10","GP2B","Great Pasture",6,42.9047619047619,22.9047619047619,27.2380952380952,85.2380952380952,1.23809523809524,0,"GP2B"
"11","GP3","Great Pasture",7,48.4,10.9,27.35,75.5,7.25,0,"GP3"
"12","GP4A","Great Pasture",8,21.45,12.1,15.3,67,12.35,0,"GP4A"
"13","GP4B","Great Pasture",8,47.2727272727273,35.4545454545455,19.6363636363636,76.3636363636364,4.54545454545455,3.27272727272727,"GP4B"
"14","GP4C","Great Pasture",8,25.2,24.6,17.95,50.75,15.25,0,"GP4C"
"15","GP5A","Great Pasture",8,28.4,17.75,7.9,65,4,6.3,"GP5A"
"16","GP5B","Great Pasture",7,48.25,23.65,19.25,78.25,10.65,1.75,"GP5B"
"17","GP5C","Great Pasture",7,41.35,15.45,0.75,60.25,4,15.85,"GP5C"
"18","GP5D","Great Pasture",7,62.75,44,39.85,68,10.9,0,"GP5D"
"19","GP6A","Great Pasture",6,44.75,6.7,22.5,78,0.5,3.75,"GP6A"
"20","GP6B","Great Pasture",7,45.2941176470588,10.6470588235294,4,64.7058823529412,0,8.82352941176471,"GP6B"
"21","GP6C","Great Pasture",9,35.5,6.75,20,63.25,5.75,4.15,"GP6C"
"22","GP7","Great Pasture",9,54.25,29.55,22.2,71.25,1.55,3.75,"GP7"
"23","GP7A","Great Pasture",9,41.5,8.4,5.5,17.4,22.5,23.4,"GP7A"
"24","GP8A","Great Pasture West",9,37.5,6.125,27.3125,50,10.625,1.5625,"GP8A"
"25","GP8B","Great Pasture West",8,33.15,31.35,26.45,59,2.85,0,"GP8B"
"26","GP8C","Great Pasture West",6,55.6666666670588,13,9,80.6666666670588,3.4,9,"GP8C"
"27","Horse","Horse Field Upper",6,29,12.15,15.1,71.5,0,6.8,"Horse"
"28","Jimmy's Wet Meadow","Jimmy's Wet Meadow",6,54,0.55,2.75,54.5,26.75,28.25,"Jimmy's Wet Meadow"
"29","Lamson Hill","Lamson Field South",6,40,32,4.8,54.75,0.05,1,"Lamson Hill"
"30","Lamson Middle",NA,6,67.3809523809524,41,25.3333333333333,58.0952380952381,0.714285714285714,20.4761904761905,"Lamson Middle"
"31","Lamson North",NA,6,53.8095238095238,4.57142857142857,23.6666666666667,73.8095238095238,NA,0,"Lamson North"
"32","Leo's",NA,6,69.25,25.15,25.75,70.25,NA,0.05,"Leo's"
"33","Long Causeway","Long Causeway Field",6,9,0,0,74,0.05,72.25,"Long Causeway"
"34","Long Meadow","Long Meadow",6,41.3,0.6,0.5,83.5,14.75,10.6,"Long Meadow"
"35","Lower Barberry","Lower Barberry Hill",6,47.2,6.2,26.5,86.5,0,8.7,"Lower Barberry"
"36","Lower Sunset","Sunset Meadow",11,27,18.3,8.6,75.75,0.25,7.75,"Lower Sunset"
"37","Lower Triangle",NA,9,44.5833333333333,12.25,21.25,50.4166666666667,0,17.0833333333333,"Lower Triangle"
"38","Lower Underhill","Underhill Lower",7,46.8181818181818,16.4545454545455,1.18181818181818,51.8181818181818,0.727272727272727,37.0909090909091,"Lower Underhill"
"39","POW West",NA,10,51.8,1.4,3.2,71.5,0,0,"POW West"
"40","Plains",NA,5,74,7.9,58,65,0,0,"Plains"
"41","Plains Woods North","Plains Woods North",6,61.25,19.5,5.25,79.75,40.25,65.8,"Plains Woods North"
"42","Playground",NA,6,73.75,41,51.75,77.75,0,0,"Playground"
"43","Playground Pond","Playground Pond",6,59,9.75,2,65.25,48.25,60.85,"Playground Pond"
"44","Pond","Horse Field South",6,22,0,0.5,72.25,0,61.8,"Pond"
"45","Sunset Field",NA,6,52,18.2,33.2,75,0,0,"Sunset Field"
"46","Sunset Hill","Sunset Hill",6,66.5,36.95,35.85,70.5,0,0,"Sunset Hill"
"47","Underhill",NA,8,17.75,16.75,11.95,55.25,25.25,14.3,"Underhill"
"48","Underhill Wet Meadow","Underhill Wet Meadow",8,18.3,11.55,5.6,67,0.5,35.7,"Underhill Wet Meadow"
"49","Upper Triangle",NA,9,34.5,6.7,23.25,58.25,0.35,3.75,"Upper Triangle"
"50","Williams 1A",NA,10,36.25,1.33333333333333,26.6666666666667,49.5833333333333,0,3,"Williams 1A"
"51","Williams Central","Williams Central",6,57,3.05,16.25,79.5,0.3,50.5,"Williams Central"
"52","Williams West",NA,10,32.75,8.65,16.6,62.25,0.25,19.5,"Williams West"
"53","Wilson","Wilson's Field",6,62.6190476190476,32.3809523809524,33.5714285714286,91.1904761904762,1,2.85714285714286,"Wilson"
